date,open,high,low,close,volume
2021-12-08,6.4918444000,6.5013912300,6.4727507400,6.4918444000,13030306
2021-12-09,6.4822975700,6.6159531900,6.4727507400,6.5586722100,34274332
2021-12-10,6.5204848900,6.5395785500,6.5013912300,6.5109380600,18050189
2021-12-13,6.5109380600,6.5395785500,6.5013912300,6.5013912300,14288030
2021-12-14,6.5013912300,6.5109380600,6.4727507400,6.4822975700,12630743
2021-12-15,6.4918444000,6.5013912300,6.4727507400,6.4918444000,9171798
2021-12-16,6.4918444000,6.5013912300,6.4822975700,6.5013912300,10632371
2021-12-17,6.5013912300,6.5013912300,6.4727507400,6.4727507400,14074905
2021-12-20,6.4632039100,6.4727507400,6.4441102500,6.4441102500,15684000
2021-12-21,6.4345634200,6.5204848900,6.4345634200,6.5013912300,20793772
2021-12-22,6.5204848900,6.5204848900,6.4727507400,6.4822975700,12603825
2021-12-23,6.4822975700,6.4822975700,6.4536570800,6.4632039100,10922793
2021-12-24,6.4536570800,6.4632039100,6.4154697600,6.4250165900,15371821
2021-12-27,6.4345634200,6.4441102500,6.4250165900,6.4345634200,7088301
2021-12-28,6.4345634200,6.4441102500,6.4250165900,6.4345634200,6479237
2021-12-29,6.4345634200,6.4441102500,6.4154697600,6.4250165900,7367647
2021-12-30,6.4250165900,6.4345634200,6.4154697600,6.4250165900,8352642
2021-12-31,6.4345634200,6.4441102500,6.4250165900,6.4441102500,8796649
2022-01-04,6.4441102500,6.4727507400,6.4345634200,6.4727507400,15860822
2022-01-05,6.4632039100,6.5109380600,6.4536570800,6.4918444000,21886641
2022-01-06,6.4918444000,6.5204848900,6.4727507400,6.4822975700,18549664
2022-01-07,6.4918444000,6.5491253800,6.4822975700,6.5300317200,27699931
2022-01-10,6.5300317200,6.5491253800,6.5109380600,6.5300317200,20286386
2022-01-11,6.5204848900,6.5777658700,6.5013912300,6.5491253800,22244291
2022-01-12,6.5491253800,6.5491253800,6.5109380600,6.5395785500,15900523
2022-01-13,6.5204848900,6.6159531900,6.5204848900,6.5491253800,28302395
2022-01-14,6.5491253800,6.5586722100,6.4727507400,6.4822975700,23062600
2022-01-17,6.4727507400,6.5109380600,6.4727507400,6.4918444000,10724765
2022-01-18,6.5013912300,6.5395785500,6.4727507400,6.5300317200,18470409
2022-01-19,6.5109380600,6.5395785500,6.4918444000,6.5204848900,13375137
2022-01-20,6.5204848900,6.8259834500,6.5013912300,6.6445936800,73700515
2022-01-21,6.5873127000,6.5968595300,6.5395785500,6.5586722100,34030834
2022-01-24,6.5491253800,6.5491253800,6.4918444000,6.5109380600,18497257
2022-01-25,6.5013912300,6.5109380600,6.3772824400,6.3868292700,25984622
2022-01-26,6.3868292700,6.4154697600,6.3677356100,6.3868292700,13193132
2022-01-27,6.3772824400,6.4250165900,6.3009078000,6.3104546300,20967235
2022-01-28,6.3104546300,6.3486419500,6.3104546300,6.3295482900,12622916
2022-02-07,6.3772824400,6.4345634200,6.3581887800,6.4059229300,11744920
2022-02-08,6.4059229300,6.5109380600,6.3868292700,6.5013912300,24611212
2022-02-09,6.5013912300,6.5300317200,6.4918444000,6.5204848900,24416364
2022-02-10,6.5013912300,6.5300317200,6.4822975700,6.5204848900,15309156
2022-02-11,6.5109380600,6.6064063600,6.5013912300,6.5395785500,34489882
2022-02-14,6.5204848900,6.5300317200,6.4250165900,6.4441102500,20844500
2022-02-15,6.4250165900,6.4727507400,6.4059229300,6.4250165900,10540000
2022-02-16,6.4345634200,6.4727507400,6.4250165900,6.4536570800,8599733
2022-02-17,6.4536570800,6.4536570800,6.4154697600,6.4154697600,9776441
2022-02-18,6.3963761000,6.4536570800,6.3963761000,6.4441102500,8979263
2022-02-21,6.4345634200,6.4441102500,6.4154697600,6.4441102500,8390731
2022-02-22,6.4345634200,6.4345634200,6.3772824400,6.3868292700,14242700
2022-02-23,6.3963761000,6.4059229300,6.3772824400,6.4059229300,8346364
